         0 CLK=0 RST=0 OUT= x x
        50 CLK=1 RST=0 OUT= x x
       100 CLK=0 RST=1 OUT= 0 0
       150 CLK=1 RST=1 OUT= 0 0
       200 CLK=0 RST=0 OUT= 0 0
       250 CLK=1 RST=0 OUT= 0 0
       300 CLK=0 RST=0 OUT= 0 0
       350 CLK=1 RST=0 OUT= 0 0
       400 CLK=0 RST=0 OUT= 0 0
       450 CLK=1 RST=0 OUT= 9 9
       500 CLK=0 RST=0 OUT= 9 9
       550 CLK=1 RST=0 OUT= 9 9
       600 CLK=0 RST=0 OUT= 9 9
       650 CLK=1 RST=0 OUT= 9 9
       700 CLK=0 RST=0 OUT= 9 9
       750 CLK=1 RST=0 OUT= 9 8
       800 CLK=0 RST=0 OUT= 9 8
       850 CLK=1 RST=0 OUT= 9 8
       900 CLK=0 RST=0 OUT= 9 8
       950 CLK=1 RST=0 OUT= 9 8
      1000 CLK=0 RST=0 OUT= 9 8
      1050 CLK=1 RST=0 OUT= 9 7
      1100 CLK=0 RST=0 OUT= 9 7
      1150 CLK=1 RST=0 OUT= 9 7
      1200 CLK=0 RST=0 OUT= 9 7
      1250 CLK=1 RST=0 OUT= 9 7
      1300 CLK=0 RST=0 OUT= 9 7
      1350 CLK=1 RST=0 OUT= 9 6
      1400 CLK=0 RST=0 OUT= 9 6
      1450 CLK=1 RST=0 OUT= 9 6
      1500 CLK=0 RST=0 OUT= 9 6
      1550 CLK=1 RST=0 OUT= 9 6
      1600 CLK=0 RST=0 OUT= 9 6
      1650 CLK=1 RST=0 OUT= 9 5
      1700 CLK=0 RST=0 OUT= 9 5
      1750 CLK=1 RST=0 OUT= 9 5
      1800 CLK=0 RST=0 OUT= 9 5
      1850 CLK=1 RST=0 OUT= 9 5
      1900 CLK=0 RST=0 OUT= 9 5
      1950 CLK=1 RST=0 OUT= 9 4
      2000 CLK=0 RST=0 OUT= 9 4
      2050 CLK=1 RST=0 OUT= 9 4
      2100 CLK=0 RST=0 OUT= 9 4
      2150 CLK=1 RST=0 OUT= 9 4
      2200 CLK=0 RST=0 OUT= 9 4
      2250 CLK=1 RST=0 OUT= 9 3
      2300 CLK=0 RST=0 OUT= 9 3
      2350 CLK=1 RST=0 OUT= 9 3
      2400 CLK=0 RST=0 OUT= 9 3
      2450 CLK=1 RST=0 OUT= 9 3
      2500 CLK=0 RST=0 OUT= 9 3
      2550 CLK=1 RST=0 OUT= 9 2
